PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3 POINT MADE,3 POINT ATTEMPTED,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS/MINUS,FP
Jalen Brunson,NYK,NYK vs. LAL,02/03/2024,L,45,36,15,31,48.4,1,6,16.7,5,6,83.3,2,4,6,10,0,0,3,1,-5,55.2
Victor Wembanyama,SAS,SAS vs. CLE,02/03/2024,L,27,19,5,16,31.3,2,4,50,7,8,87.5,4,10,14,3,2,2,3,0,10,49.3
Trae Young,ATL,ATL vs. GSW,02/03/2024,W,42,35,12,21,57.1,7,11,63.6,4,5,80,0,0,0,6,1,0,3,3,5,44
James Harden,LAC,LAC @ MIA,02/04/2024,W,42,21,7,13,53.8,5,9,55.6,2,4,50,0,8,8,11,1,1,4,1,10,49.1
Giannis Antetokounmpo,MIL,MIL @ UTA,02/04/2024,L,40,33,11,15,73.3,0,2,0,11,15,73.3,2,5,7,13,0,1,5,3,-8,58.9
Shai Gilgeous-Alexander,OKC,OKC vs. TOR,02/04/2024,W,48,23,9,17,52.9,2,5,40,3,3,100,1,8,9,14,2,3,2,5,7,67.8
Anthony Edwards,MIN,MIN vs. HOU,02/04/2024,W,34,32,11,22,50,4,8,50,6,8,75,1,5,6,1,1,1,4,3,27,42.7
Kevin Durant,PHX,PHX @ WAS,02/04/2024,W,26,18,7,9,77.8,3,3,100,1,2,50,0,4,4,3,2,1,1,0,18,35.3
Jayson Tatum,BOS,BOS vs. MEM,02/04/2024,W,31,34,12,22,54.5,6,12,50,4,4,100,1,7,8,7,1,0,2,1,27,55.1
Wendell Carter Jr.,ORL,ORL @ DET,02/04/2024,W,28,7,3,4,75,0,1,0,1,3,33.3,1,3,4,2,1,0,3,2,9,14.8
LeBron James,LAL,LAL @ CHA,02/05/2024,W,40,26,12,22,54.5,0,5,0,2,3,66.7,0,4,4,7,1,1,4,2,2,43.3
Stephen Curry,GSW,GSW @ BKN,02/05/2024,W,34,29,12,24,50,4,11,36.4,1,1,100,1,4,5,3,0,0,4,2,6,35.5
James Harden,LAC,LAC @ ATL,02/05/2024,W,39,30,7,14,50,6,9,66.7,10,10,100,2,6,8,10,2,1,2,3,11,61.6
Tyrese Maxey,PHI,PHI vs. DAL,02/05/2024,L,33,15,6,16,37.5,1,5,20,2,3,66.7,0,2,2,7,0,0,3,4,-23,24.9
Trae Young,ATL,ATL vs. LAC,02/05/2024,L,36,25,8,14,57.1,3,7,42.9,6,6,100,0,2,2,12,2,0,5,5,-6,46.4
Giannis Antetokounmpo,MIL,MIL @ PHX,02/06/2024,L,39,34,13,24,54.2,1,3,33.3,7,13,53.8,4,6,10,6,0,0,5,5,1,50
Shai Gilgeous-Alexander,OKC,OKC @ UTA,02/06/2024,L,36,28,11,22,50,2,3,66.7,4,5,80,1,3,4,7,1,1,2,1,-3,47.3
Anthony Edwards,MIN,MIN @ CHI,02/06/2024,L,44,38,12,26,46.2,5,9,55.6,9,11,81.8,0,12,12,5,2,1,5,5,-4,63.9
Kevin Durant,PHX,PHX vs. MIL,02/06/2024,W,39,28,11,21,52.4,1,5,20,5,7,71.4,0,10,10,1,1,2,5,3,8,45.5
Jalen Brunson,NYK,NYK vs. MEM,02/06/2024,W,31,27,11,21,52.4,1,4,25,4,5,80,0,3,3,8,3,0,2,1,-3,49.6
Wendell Carter Jr.,ORL,ORL @ MIA,02/06/2024,L,28,15,6,9,66.7,2,4,50,1,2,50,1,5,6,3,0,0,0,5,-22,26.7
Stephen Curry,GSW,GSW @ PHI,02/07/2024,W,25,9,2,7,28.6,1,4,25,4,4,100,0,3,3,1,0,1,4,2,13,13.1
James Harden,LAC,LAC vs. NOP,02/07/2024,L,38,19,6,11,54.5,5,6,83.3,2,3,66.7,1,7,8,5,1,1,4,2,-1,38.1
Tyrese Maxey,PHI,PHI vs. GSW,02/07/2024,L,30,12,5,14,35.7,2,7,28.6,0,0,-,0,2,2,3,1,1,3,2,-27,21.9
Jayson Tatum,BOS,BOS vs. ATL,02/07/2024,W,36,20,8,21,38.1,2,13,15.4,2,2,100,0,9,9,7,1,0,3,3,3,41.3
Victor Wembanyama,SAS,SAS @ MIA,02/07/2024,L,28,18,7,13,53.8,3,5,60,1,3,33.3,0,13,13,3,1,1,3,1,-12,41.1
Trae Young,ATL,ATL @ BOS,02/07/2024,L,38,20,8,25,32,2,10,20,2,2,100,0,2,2,10,1,0,4,0,-10,36.4
LeBron James,LAL,LAL vs. DEN,02/08/2024,L,35,25,9,20,45,2,6,33.3,5,5,100,1,8,9,7,1,1,2,0,-6,50.3
Stephen Curry,GSW,GSW @ IND,02/08/2024,W,30,42,15,22,68.2,11,16,68.8,1,2,50,0,2,2,2,0,1,2,2,13,48.4
Giannis Antetokounmpo,MIL,MIL vs. MIN,02/08/2024,L,27,17,7,14,50,0,2,0,3,7,42.9,1,2,3,7,1,0,3,1,-18,31.1
Anthony Edwards,MIN,MIN @ MIL,02/08/2024,W,36,26,9,20,45,4,11,36.4,4,6,66.7,0,3,3,9,1,0,0,3,16,46.1
Kevin Durant,PHX,PHX vs. UTA,02/08/2024,W,35,31,14,23,60.9,2,6,33.3,1,1,100,0,8,8,7,3,2,3,1,17,63.1
Victor Wembanyama,SAS,SAS @ ORL,02/08/2024,L,23,15,6,12,50,2,4,50,1,1,100,0,1,1,2,1,3,5,1,-11,26.2
Wendell Carter Jr.,ORL,ORL vs. SAS,02/08/2024,W,26,10,3,7,42.9,3,4,75,1,2,50,1,5,6,1,1,0,3,0,19,18.7
LeBron James,LAL,LAL vs. NOP,02/09/2024,W,38,21,6,13,46.2,2,2,100,7,8,87.5,1,3,4,14,1,1,2,2,15,50.8
Giannis Antetokounmpo,MIL,MIL vs. CHA,02/09/2024,W,24,15,5,10,50,0,1,0,5,7,71.4,1,13,14,3,1,1,0,5,28,42.3
Jayson Tatum,BOS,BOS vs. WAS,02/09/2024,W,38,35,12,22,54.5,3,10,30,8,9,88.9,1,9,10,8,1,2,2,1,9,66
Trae Young,ATL,ATL @ PHI,02/09/2024,W,40,37,10,21,47.6,5,12,41.7,12,16,75,0,1,1,12,1,0,7,1,5,52.2
Stephen Curry,GSW,GSW vs. PHX,02/10/2024,W,34,30,10,22,45.5,9,16,56.3,1,2,50,1,8,9,6,1,0,3,0,10,49.8
James Harden,LAC,LAC vs. DET,02/10/2024,W,36,14,4,11,36.4,2,8,25,4,4,100,0,6,6,8,1,1,5,1,8,34.2
Tyrese Maxey,PHI,PHI @ WAS,02/10/2024,W,36,28,11,25,44,3,7,42.9,3,4,75,0,9,9,7,0,0,2,1,-10,47.3
