PLAYER,MATCH UP,GAME DATE,W/L,MIN,PTS
Tyrese Maxey,PHI vs. DET,12/15/2023,W,27,19
Joel Embiid,PHI vs. DET,12/15/2023,W,29,35
Kevin Durant,PHX vs. NYK,12/15/2023,L,36,29
Victor Wembanyama,SAS vs. LAL,12/15/2023,W,31,13
Trae Young,ATL @ CLE,12/16/2023,L,38,35
Stephen Curry,GSW vs. BKN,12/16/2023,W,35,37
James Harden,LAC vs. NYK,12/16/2023,W,28,10
Giannis Antetokounmpo,MIL vs. DET,12/16/2023,W,26,22
Anthony Edwards,MIN vs. IND,12/16/2023,W,34,37
Jalen Brunson,NYK @ LAC,12/16/2023,L,34,22
Shai Gilgeous-Alexander,OKC @ DEN,12/16/2023,W,37,25
Tyrese Maxey,PHI @ CHA,12/16/2023,W,33,21
Joel Embiid,PHI @ CHA,12/16/2023,W,30,42
Jayson Tatum,BOS vs. ORL,12/17/2023,W,31,23
Stephen Curry,GSW @ POR,12/17/2023,W,31,7
Giannis Antetokounmpo,MIL vs. HOU,12/17/2023,W,39,26
Kevin Durant,PHX vs. WAS,12/17/2023,W,35,28
Victor Wembanyama,SAS vs. NOP,12/17/2023,L,31,17
Trae Young,ATL vs. DET,12/18/2023,W,38,31
James Harden,LAC @ IND,12/18/2023,W,28,35
LeBron James,LAL vs. NYK,12/18/2023,L,39,25
Anthony Edwards,MIN @ MIA,12/18/2023,W,40,32
Jalen Brunson,NYK @ LAL,12/18/2023,W,37,29
Shai Gilgeous-Alexander,OKC vs. MEM,12/18/2023,W,28,30
Tyrese Maxey,PHI vs. CHI,12/18/2023,L,39,29
Joel Embiid,PHI vs. CHI,12/18/2023,L,37,40
Jayson Tatum,BOS @ GSW,12/19/2023,L,41,15
Stephen Curry,GSW vs. BOS,12/19/2023,W,38,33
Giannis Antetokounmpo,MIL vs. SAS,12/19/2023,W,34,11
Kevin Durant,PHX @ POR,12/19/2023,L,38,40
Trae Young,ATL @ HOU,12/20/2023,W,36,30
James Harden,LAC @ DAL,12/20/2023,W,39,17
LeBron James,LAL @ CHI,12/20/2023,L,37,25
Anthony Edwards,MIN @ PHI,12/20/2023,L,36,27
Jalen Brunson,NYK @ BKN,12/20/2023,W,32,16
Wendell Carter Jr.,ORL vs. MIA,12/20/2023,L,23,8
Tyrese Maxey,PHI vs. MIN,12/20/2023,W,37,35
Joel Embiid,PHI vs. MIN,12/20/2023,W,36,51
James Harden,LAC @ OKC,12/21/2023,L,34,23
Giannis Antetokounmpo,MIL vs. ORL,12/21/2023,W,37,37
Anthony Edwards,MIN vs. LAL,12/21/2023,W,38,27
Shai Gilgeous-Alexander,OKC vs. LAC,12/21/2023,W,32,31
Wendell Carter Jr.,ORL @ MIL,12/21/2023,L,21,4
Victor Wembanyama,SAS @ CHI,12/21/2023,L,22,7
Trae Young,ATL @ MIA,12/22/2023,L,40,30
Stephen Curry,GSW vs. WAS,12/22/2023,W,27,30
